,text,target
20,"Nur-Sultan's economy is based on trade, industrial production, transport, communication and construction.",1
21,"The city's industrial production is mainly focused on producing building materials, foodstuff and mechanical engineering.",1
22,The Astana International Financial Center (AIFC) opened in July 2018 to become a hub for financial services in Central Asia.,1
23,"Nur-Sultan is the headquarters of state-owned corporations such as Samruk-Kazyna, Kazakhstan Temir Zholy, KazMunayGas, KazTransOil, Kazatomprom, KEGOC, Kazpost and Kazakhtelecom.",1
24,The shift of the capital has given it a powerful boost to Nur-Sultan's economic development.,1
25,The city's high economic growth rate has attracted numerous investors.,1
26,"In the 16 years since Nur-Sultan became the capital, the volume of investments has increased by almost 30 times, the gross regional product has increased by 90 times,[55] and industrial output has increased by 11 times.",1
27,The city's Gross Regional Product makes up about 8.5 per cent of the republic's Gross domestic product.,1
28,The Nur-Sultan вЂ“ New City special economic zone was established in 2001 to help develop industry and increase the attractiveness of the city to investors.,1
29,The SEZ plans to commission five projects worth 20 billion KZT (around $108 million) in the Industrial Park No.,1
30,1 in 2015.,1
31,"The projects include construction of a plant for production of diesel engines, a fast food complex, temporary storage warehouses and a business center, a furniture factory, and production of military and civil engineering machinery.",1
32,The new Nur-Sultan /Astana International Financial Centre is due to launch on 1 January 2018.,1
33,Nur-Sultan's administration is promoting the development of small and medium-sized businesses through the cooperation of the Sovereign Welfare Fund Samruk-Kazyna and National Economic Chamber.,1
34,Support is provided by a special programme of crediting.,1
35,"As a result, the number of small and medium-sized businesses increased by 13.7% to over 96,000 compared to the previous year as of 1 July 2015.",1
36,"In addition, the number of people employed in small and medium-sized business increased by 17.8% to over 234,000 people as of 1 April 2015.",1
37,"Nur-Sultan was included in the list of top 21 intelligent communities of the world, according to the report released by the Intelligent Community Forum in October 2016.",1
38,"The rating list includes the cities, regions and communities which use digital instruments for the construction of local economy and society.",1
39,"In 2018, Nur-Sultan attracted more than three trillion tenge (US$7.91 billion) in foreign direct investments, a record amount for the city.",1
40,The growth was achieved due to a large number of construction projects.,1
41,Tourism becomes one of the factors that drive economic growth in the city.,1
42,Nur-Sultan is among the top ten most attractive tourist cities in the Commonwealth of Independent States (CIS).,1
43,"Nur-Sultan (Kazakh pronunciation: [nКЉЙѕ sКЉltЙ‘n], Cyrillic: РќТ±СЂ-РЎТ±Р»С‚Р°РЅ; see also other names), is the capital city of Kazakhstan.",1
44,"Known between 1998 and 2019 as Astana[a] (Kazakh pronunciation: [Й‘stЙ‘nЙ‘], Cyrillic: РђСЃС‚Р°РЅР°) and before that Akmola, it was renamed Nur-Sultan in March 2019, in honour of the departing Kazakh president, Nursultan Nazarbayev.",1
45,"The city lies on the banks of the Ishim River in the north-central part of Kazakhstan, within the Akmola Region, though administered as a city with special status separately from the rest of the region.",1
46,"A 2020 official estimate reported a population of 1,136,008 within the city limits, making it the second-largest city in the country, after Almaty, the previous capital, between 1991 and 1997.",1
47,"Akmola became the capital of Kazakhstan in 1997, since then it has grown and developed economically into one of the most modern cities in Central Asia.",1
48,"On 23 March 2019, following a unanimous vote in Kazakhstan's parliament, the city was renamed Nur-Sultan, after former Kazakhstan President Nursultan Nazarbayev.",1
49,"Modern Nur-Sultan is a planned city, following the process of other planned capitals.",1
50,"After it became the capital of Kazakhstan, the city dramatically changed its shape.",1
51,The city's master-plan was designed by Japanese architect Kisho Kurokawa.,1
52,"As the seat of the Government of Kazakhstan, Nur-Sultan is the site of the Parliament House, the Supreme Court, the Ak Orda Presidential Palace and numerous government departments and agencies.",1
53,"It is home to a range of futuristic buildings, including many skyscrapers",1
54,"The settlement was founded in 1830 as Akmoly or Akmolinsky prikaz (Russian: РђРєРјРѕР»РёРЅСЃРєРёР№ РїСЂРёРєР°Р· ""prikaz [office] of Akmoly"").",1
55,"This name was possibly given after a local landmarkвЂ”Akmola literally means ""white grave"" or ""holy city"" in KazakhвЂ”although this theory is not universally accepted.",1
56,"In 1832, it was granted town status and renamed Akmolinsk (Russian: РђРєРјРѕР»РёРЅСЃРє).",1
57,"During the Soviet era on 20 March 1961, it was renamed Tselinograd (Russian: Р¦РµР»РёРЅРѕРіСЂР°Рґ, lit.",1
58,'City of virgin lands') to mark its evolution as a cultural and administrative center of the Virgin Lands campaign.,1
59,"In 1992, after Kazakh independence Tselinograd adopted the presumed original name Akmola.",1
60,"On 10 December 1997, Akmola replaced Almaty as the capital of Kazakhstan.",1
61,"On 6 May 1998, it was renamed Astana, which means ""capital city"" in Kazakh.",1
62,"On 20 March 2019, the capital was renamed from Astana to its current name Nur-Sultan in honor of the long-ruling Kazakh President Nursultan Nazarbayev, shortly after his resignatio.",1
63,"Nur-Sultan's economy is based on trade, industrial production, transport, communication and construction.",1
64,"The city's industrial production is mainly focused on producing building materials, foodstuff and mechanical engineering.",1
65,The Astana International Financial Center (AIFC) opened in July 2018 to become a hub for financial services in Central Asia.,1
66,"Nur-Sultan is the headquarters of state-owned corporations such as Samruk-Kazyna, Kazakhstan Temir Zholy, KazMunayGas, KazTransOil, Kazatomprom, KEGOC, Kazpost and Kazakhtelecom.",1
67,The shift of the capital has given it a powerful boost to Nur-Sultan's economic development.,1
68,The city's high economic growth rate has attracted numerous investors.,1
69,"In the 16 years since Nur-Sultan became the capital, the volume of investments has increased by almost 30 times, the gross regional product has increased by 90 times,[55] and industrial output has increased by 11 times.",1
70,The city's Gross Regional Product makes up about 8.5 per cent of the republic's Gross domestic product.,1
71,The Nur-Sultan вЂ“ New City special economic zone was established in 2001 to help develop industry and increase the attractiveness of the city to investors.,1
72,The SEZ plans to commission five projects worth 20 billion KZT (around $108 million) in the Industrial Park No.,1
73,1 in 2015.,1
74,"The projects include construction of a plant for production of diesel engines, a fast food complex, temporary storage warehouses and a business center, a furniture factory, and production of military and civil engineering machinery.",1
75,The new Nur-Sultan /Astana International Financial Centre is due to launch on 1 January 2018.,1
76,Nur-Sultan's administration is promoting the development of small and medium-sized businesses through the cooperation of the Sovereign Welfare Fund Samruk-Kazyna and National Economic Chamber.,1
77,Support is provided by a special programme of crediting.,1
78,"As a result, the number of small and medium-sized businesses increased by 13.7% to over 96,000 compared to the previous year as of 1 July 2015.",1
79,"In addition, the number of people employed in small and medium-sized business increased by 17.8% to over 234,000 people as of 1 April 2015.",1
80,"Nur-Sultan was included in the list of top 21 intelligent communities of the world, according to the report released by the Intelligent Community Forum in October 2016.",1
81,"The rating list includes the cities, regions and communities which use digital instruments for the construction of local economy and society.",1
82,[60],1
83,"In 2018, Nur-Sultan attracted more than three trillion tenge (US$7.91 billion) in foreign direct investments, a record amount for the city.",1
84,The growth was achieved due to a large number of construction projects.,1
85,[61],1
86,Tourism becomes one of the factors that drive economic growth in the city.,1
87,Nur-Sultan is among the top ten most attractive tourist cities in the Commonwealth of Independent States (CIS).,1
88,"Nur-Sultan (Kazakh pronunciation: [nКЉЙѕ sКЉltЙ‘n], Cyrillic: РќТ±СЂ-РЎТ±Р»С‚Р°РЅ; see also other names), is the capital city of Kazakhstan.",1
89,"Known between 1998 and 2019 as Astana[a] (Kazakh pronunciation: [Й‘stЙ‘nЙ‘], Cyrillic: РђСЃС‚Р°РЅР°) and before that Akmola, it was renamed Nur-Sultan in March 2019, in honour of the departing Kazakh president, Nursultan Nazarbayev.",1
90,"The city lies on the banks of the Ishim River in the north-central part of Kazakhstan, within the Akmola Region, though administered as a city with special status separately from the rest of the region.",1
91,"A 2020 official estimate reported a population of 1,136,008 within the city limits, making it the second-largest city in the country, after Almaty, the previous capital, between 1991 and 1997.",1
92,[3],1
93,"Akmola became the capital of Kazakhstan in 1997, since then it has grown and developed economically into one of the most modern cities in Central Asia.",1
94,"[12][13] On 23 March 2019, following a unanimous vote in Kazakhstan's parliament, the city was renamed Nur-Sultan, after former Kazakhstan President Nursultan Nazarbayev.",1
95,[14][15][16],1
96,"Modern Nur-Sultan is a planned city, following the process of other planned capitals.",1
97,"[17] After it became the capital of Kazakhstan, the city dramatically changed its shape.",1
98,The city's master-plan was designed by Japanese architect Kisho Kurokawa.,1
99,"[17] As the seat of the Government of Kazakhstan, Nur-Sultan is the site of the Parliament House, the Supreme Court, the Ak Orda Presidential Palace and numerous government departments and agencies.",1
100,"It is home to a range of futuristic buildings, including many skyscrapers",1
101,"The settlement was founded in 1830 as Akmoly or Akmolinsky prikaz (Russian: РђРєРјРѕР»РёРЅСЃРєРёР№ РїСЂРёРєР°Р· ""prikaz [office] of Akmoly"").",1
102,"This name was possibly given after a local landmarkвЂ”Akmola literally means ""white grave"" or ""holy city"" in KazakhвЂ”although this theory is not universally accepted.",1
103,"[2] In 1832, it was granted town status and renamed Akmolinsk (Russian: РђРєРјРѕР»РёРЅСЃРє).",1
104,"[2] During the Soviet era on 20 March 1961, it was renamed Tselinograd (Russian: Р¦РµР»РёРЅРѕРіСЂР°Рґ, lit.",1
105,'City of virgin lands') to mark its evolution as a cultural and administrative center of the Virgin Lands campaign.,1
106,"[21][2] In 1992, after Kazakh independence Tselinograd adopted the presumed original name Akmola.",1
107,"[2][22] On 10 December 1997, Akmola replaced Almaty as the capital of Kazakhstan.",1
108,"On 6 May 1998, it was renamed Astana, which means ""capital city"" in Kazakh.",1
109,"[23] On 20 March 2019, the capital was renamed from Astana to its current name Nur-Sultan in honor of the long-ruling Kazakh President Nursultan Nazarbayev, shortly after his resignatio.",1
110,"Nur-Sultan's economy is based on trade, industrial production, transport, communication and construction.",1
111,"The city's industrial production is mainly focused on producing building materials, foodstuff and mechanical engineering.",1
112,The Astana International Financial Center (AIFC) opened in July 2018 to become a hub for financial services in Central Asia.,1
113,[54],1
114,"Nur-Sultan is the headquarters of state-owned corporations such as Samruk-Kazyna, Kazakhstan Temir Zholy, KazMunayGas, KazTransOil, Kazatomprom, KEGOC, Kazpost and Kazakhtelecom.",1
115,The shift of the capital has given it a powerful boost to Nur-Sultan's economic development.,1
116,The city's high economic growth rate has attracted numerous investors.,1
117,"In the 16 years since Nur-Sultan became the capital, the volume of investments has increased by almost 30 times, the gross regional product has increased by 90 times,[55] and industrial output has increased by 11 times.",1
118,The city's Gross Regional Product makes up about 8.5 per cent of the republic's Gross domestic product.,1
119,[56],1
120,The Nur-Sultan вЂ“ New City special economic zone was established in 2001 to help develop industry and increase the attractiveness of the city to investors.,1
121,[57] The SEZ plans to commission five projects worth 20 billion KZT (around $108 million) in the Industrial Park No.,1
122,1 in 2015.,1
123,"[57] The projects include construction of a plant for production of diesel engines, a fast food complex, temporary storage warehouses and a business center, a furniture factory, and production of military and civil engineering machin",1
124,[57] The new Nur-Sultan /Astana International Financial Centre is due to launch on 1 January 2018.,1
125,Nur-Sultan's administration is promoting the development of small and medium-sized businesses through the cooperation of the Sovereign Welfare Fund Samruk-Kazyna and National Economic Chamber.,1
126,Support is provided by a special programme of crediting.,1
127,"[58] As a result, the number of small and medium-sized businesses increased by 13.7% to over 96,000 compared to the previous year as of 1 July 2015.",1
128,"[59] In addition, the number of people employed in small and medium-sized business increased by 17.8% to over 234,000 people as of 1 April 2015.",1
129,[59],1
130,"Nur-Sultan was included in the list of top 21 intelligent communities of the world, according to the report released by the Intelligent Community Forum in October 2016.",1
131,"The rating list includes the cities, regions and communities which use digital instruments for the construction of local economy and society.",1
132,[60],1
133,"In 2018, Nur-Sultan attracted more than three trillion tenge (US$7.91 billion) in foreign direct investments, a record amount for the city.",1
134,The growth was achieved due to a large number of construction projects.,1
135,[61],1
136,Tourism becomes one of the factors that drive economic growth in the city.,1
137,Nur-Sultan is among the top ten most attractive tourist cities in the Commonwealth of Independent States (CIS).,1
138,"Nur-Sultan (Kazakh pronunciation: [nКЉЙѕ sКЉltЙ‘n], Cyrillic: РќТ±СЂ-РЎТ±Р»С‚Р°РЅ; see also other names), is the capital city of Kazakhstan.",1
139,"Known between 1998 and 2019 as Astana[a] (Kazakh pronunciation: [Й‘stЙ‘nЙ‘], Cyrillic: РђСЃС‚Р°РЅР°) and before that Akmola, it was renamed Nur-Sultan in March 2019, in honour of the departing Kazakh president, Nursultan Nazarbayev.",1
140,"The city lies on the banks of the Ishim River in the north-central part of Kazakhstan, within the Akmola Region, though administered as a city with special status separately from the rest of the region.",1
141,"A 2020 official estimate reported a population of 1,136,008 within the city limits, making it the second-largest city in the country, after Almaty, the previous capital, between 1991 and 1997.",1
142,[3],1
143,"Akmola became the capital of Kazakhstan in 1997, since then it has grown and developed economically into one of the most modern cities in Central Asia.",1
144,"[12][13] On 23 March 2019, following a unanimous vote in Kazakhstan's parliament, the city was renamed Nur-Sultan, after former Kazakhstan President Nursultan Nazarbayev.",1
145,[14][15][16],1
146,"Modern Nur-Sultan is a planned city, following the process of other planned capitals.",1
147,"[17] After it became the capital of Kazakhstan, the city dramatically changed its shape.",1
148,The city's master-plan was designed by Japanese architect Kisho Kurokawa.,1
149,"[17] As the seat of the Government of Kazakhstan, Nur-Sultan is the site of the Parliament House, the Supreme Court, the Ak Orda Presidential Palace and numerous government departments and agencies.",1
150,"It is home to a range of futuristic buildings, including many skyscrapers",1
151,"The settlement was founded in 1830 as Akmoly or Akmolinsky prikaz (Russian: РђРєРјРѕР»РёРЅСЃРєРёР№ РїСЂРёРєР°Р· ""prikaz [office] of Akmoly"").",1
152,"This name was possibly given after a local landmarkвЂ”Akmola literally means ""white grave"" or ""holy city"" in KazakhвЂ”although this theory is not universally accepted.",1
153,"[2] In 1832, it was granted town status and renamed Akmolinsk (Russian: РђРєРјРѕР»РёРЅСЃРє).",1
154,"[2] During the Soviet era on 20 March 1961, it was renamed Tselinograd (Russian: Р¦РµР»РёРЅРѕРіСЂР°Рґ, lit.",1
155,'City of virgin lands') to mark its evolution as a cultural and administrative center of the Virgin Lands campaign.,1
156,"[21][2] In 1992, after Kazakh independence Tselinograd adopted the presumed original name Akmola.",1
157,"[2][22] On 10 December 1997, Akmola replaced Almaty as the capital of Kazakhstan.",1
158,"On 6 May 1998, it was renamed Astana, which means ""capital city"" in Kazakh.",1
159,"[23] On 20 March 2019, the capital was renamed from Astana to its current name Nur-Sultan in honor of the long-ruling Kazakh President Nursultan Nazarbayev, shortly after his resignatio.",1
160,"Nur-Sultan's economy is based on trade, industrial production, transport, communication and construction.",1
161,"The city's industrial production is mainly focused on producing building materials, foodstuff and mechanical engineering.",1
162,The Astana International Financial Center (AIFC) opened in July 2018 to become a hub for financial services in Central Asia.,1
163,[54],1
164,"Nur-Sultan is the headquarters of state-owned corporations such as Samruk-Kazyna, Kazakhstan Temir Zholy, KazMunayGas, KazTransOil, Kazatomprom, KEGOC, Kazpost and Kazakhtelecom.",1
165,The shift of the capital has given it a powerful boost to Nur-Sultan's economic development.,1
166,The city's high economic growth rate has attracted numerous investors.,1
167,"In the 16 years since Nur-Sultan became the capital, the volume of investments has increased by almost 30 times, the gross regional product has increased by 90 times,[55] and industrial output has increased by 11 times.",1
168,The city's Gross Regional Product makes up about 8.5 per cent of the republic's Gross domestic product.,1
169,[56],1
170,The Nur-Sultan вЂ“ New City special economic zone was established in 2001 to help develop industry and increase the attractiveness of the city to investors.,1
171,[57] The SEZ plans to commission five projects worth 20 billion KZT (around $108 million) in the Industrial Park No.,1
172,1 in 2015.,1
173,"[57] The projects include construction of a plant for production of diesel engines, a fast food complex, temporary storage warehouses and a business center, a furniture factory, and production of military and civil engineering machin",1
174,[57] The new Nur-Sultan /Astana International Financial Centre is due to launch on 1 January 2018.,1
175,Nur-Sultan's administration is promoting the development of small and medium-sized businesses through the cooperation of the Sovereign Welfare Fund Samruk-Kazyna and National Economic Chamber.,1
176,Support is provided by a special programme of crediting.,1
177,"[58] As a result, the number of small and medium-sized businesses increased by 13.7% to over 96,000 compared to the previous year as of 1 July 2015.",1
178,"[59] In addition, the number of people employed in small and medium-sized business increased by 17.8% to over 234,000 people as of 1 April 2015.",1
179,[59],1
180,"Nur-Sultan was included in the list of top 21 intelligent communities of the world, according to the report released by the Intelligent Community Forum in October 2016.",1
181,"The rating list includes the cities, regions and communities which use digital instruments for the construction of local economy and society.",1
182,[60],1
183,"In 2018, Nur-Sultan attracted more than three trillion tenge (US$7.91 billion) in foreign direct investments, a record amount for the city.",1
184,The growth was achieved due to a large number of construction projects.,1
185,[61],1
186,Tourism becomes one of the factors that drive economic growth in the city.,1
187,Nur-Sultan is among the top ten most attractive tourist cities in the Commonwealth of Independent States (CIS).,1
188,"Nur-Sultan (Kazakh pronunciation: [nКЉЙѕ sКЉltЙ‘n], Cyrillic: РќТ±СЂ-РЎТ±Р»С‚Р°РЅ; see also other names), is the capital city of Kazakhstan.",1
189,"Known between 1998 and 2019 as Astana[a] (Kazakh pronunciation: [Й‘stЙ‘nЙ‘], Cyrillic: РђСЃС‚Р°РЅР°) and before that Akmola, it was renamed Nur-Sultan in March 2019, in honour of the departing Kazakh president, Nursultan Nazarbayev.",1
190,"The city lies on the banks of the Ishim River in the north-central part of Kazakhstan, within the Akmola Region, though administered as a city with special status separately from the rest of the region.",1
191,"A 2020 official estimate reported a population of 1,136,008 within the city limits, making it the second-largest city in the country, after Almaty, the previous capital, between 1991 and 1997.",1
192,[3],1
193,"Akmola became the capital of Kazakhstan in 1997, since then it has grown and developed economically into one of the most modern cities in Central Asia.",1
194,"[12][13] On 23 March 2019, following a unanimous vote in Kazakhstan's parliament, the city was renamed Nur-Sultan, after former Kazakhstan President Nursultan Nazarbayev.",1
195,[14][15][16],1
196,"Modern Nur-Sultan is a planned city, following the process of other planned capitals.",1
197,"[17] After it became the capital of Kazakhstan, the city dramatically changed its shape.",1
198,The city's master-plan was designed by Japanese architect Kisho Kurokawa.,1
199,"[17] As the seat of the Government of Kazakhstan, Nur-Sultan is the site of the Parliament House, the Supreme Court, the Ak Orda Presidential Palace and numerous government departments and agencies.",1
200,"It is home to a range of futuristic buildings, including many skyscrapers",1
201,"The settlement was founded in 1830 as Akmoly or Akmolinsky prikaz (Russian: РђРєРјРѕР»РёРЅСЃРєРёР№ РїСЂРёРєР°Р· ""prikaz [office] of Akmoly"").",1
202,"This name was possibly given after a local landmarkвЂ”Akmola literally means ""white grave"" or ""holy city"" in KazakhвЂ”although this theory is not universally accepted.",1
203,"[2] In 1832, it was granted town status and renamed Akmolinsk (Russian: РђРєРјРѕР»РёРЅСЃРє).",1
204,"[2] During the Soviet era on 20 March 1961, it was renamed Tselinograd (Russian: Р¦РµР»РёРЅРѕРіСЂР°Рґ, lit.",1
205,'City of virgin lands') to mark its evolution as a cultural and administrative center of the Virgin Lands campaign.,1
206,"[21][2] In 1992, after Kazakh independence Tselinograd adopted the presumed original name Akmola.",1
207,"[2][22] On 10 December 1997, Akmola replaced Almaty as the capital of Kazakhstan.",1
208,"On 6 May 1998, it was renamed Astana, which means ""capital city"" in Kazakh.",1
209,"[23] On 20 March 2019, the capital was renamed from Astana to its current name Nur-Sultan in honor of the long-ruling Kazakh President Nursultan Nazarbayev, shortly after his resignatio.",1
210,"Nur-Sultan's economy is based on trade, industrial production, transport, communication and construction.",1
211,"The city's industrial production is mainly focused on producing building materials, foodstuff and mechanical engineering.",1
212,The Astana International Financial Center (AIFC) opened in July 2018 to become a hub for financial services in Central Asia.,1
213,[54],1
214,"Nur-Sultan is the headquarters of state-owned corporations such as Samruk-Kazyna, Kazakhstan Temir Zholy, KazMunayGas, KazTransOil, Kazatomprom, KEGOC, Kazpost and Kazakhtelecom.",1
215,The shift of the capital has given it a powerful boost to Nur-Sultan's economic development.,1
216,The city's high economic growth rate has attracted numerous investors.,1
217,"In the 16 years since Nur-Sultan became the capital, the volume of investments has increased by almost 30 times, the gross regional product has increased by 90 times,[55] and industrial output has increased by 11 times.",1
218,The city's Gross Regional Product makes up about 8.5 per cent of the republic's Gross domestic product.,1
219,[56],1
220,The Nur-Sultan вЂ“ New City special economic zone was established in 2001 to help develop industry and increase the attractiveness of the city to investors.,1
221,[57] The SEZ plans to commission five projects worth 20 billion KZT (around $108 million) in the Industrial Park No.,1
222,1 in 2015.,1
223,"[57] The projects include construction of a plant for production of diesel engines, a fast food complex, temporary storage warehouses and a business center, a furniture factory, and production of military and civil engineering machin",1
224,[57] The new Nur-Sultan /Astana International Financial Centre is due to launch on 1 January 2018.,1
225,Nur-Sultan's administration is promoting the development of small and medium-sized businesses through the cooperation of the Sovereign Welfare Fund Samruk-Kazyna and National Economic Chamber.,1
226,Support is provided by a special programme of crediting.,1
227,"[58] As a result, the number of small and medium-sized businesses increased by 13.7% to over 96,000 compared to the previous year as of 1 July 2015.",1
228,"[59] In addition, the number of people employed in small and medium-sized business increased by 17.8% to over 234,000 people as of 1 April 2015.",1
229,[59],1
230,"Nur-Sultan was included in the list of top 21 intelligent communities of the world, according to the report released by the Intelligent Community Forum in October 2016.",1
231,"The rating list includes the cities, regions and communities which use digital instruments for the construction of local economy and society.",1
232,[60],1
233,"In 2018, Nur-Sultan attracted more than three trillion tenge (US$7.91 billion) in foreign direct investments, a record amount for the city.",1
234,The growth was achieved due to a large number of construction projects.,1
235,[61],1
236,Tourism becomes one of the factors that drive economic growth in the city.,1
237,Nur-Sultan is among the top ten most attractive tourist cities in the Commonwealth of Independent States (CIS).,1
238,"Nur-Sultan (Kazakh pronunciation: [nКЉЙѕ sКЉltЙ‘n], Cyrillic: РќТ±СЂ-РЎТ±Р»С‚Р°РЅ; see also other names), is the capital city of Kazakhstan.",1
239,"Known between 1998 and 2019 as Astana[a] (Kazakh pronunciation: [Й‘stЙ‘nЙ‘], Cyrillic: РђСЃС‚Р°РЅР°) and before that Akmola, it was renamed Nur-Sultan in March 2019, in honour of the departing Kazakh president, Nursultan Nazarbayev.",1
240,"The city lies on the banks of the Ishim River in the north-central part of Kazakhstan, within the Akmola Region, though administered as a city with special status separately from the rest of the region.",1
241,"A 2020 official estimate reported a population of 1,136,008 within the city limits, making it the second-largest city in the country, after Almaty, the previous capital, between 1991 and 1997.",1
242,[3],1
243,"Akmola became the capital of Kazakhstan in 1997, since then it has grown and developed economically into one of the most modern cities in Central Asia.",1
244,"[12][13] On 23 March 2019, following a unanimous vote in Kazakhstan's parliament, the city was renamed Nur-Sultan, after former Kazakhstan President Nursultan Nazarbayev.",1
245,[14][15][16],1
246,"Modern Nur-Sultan is a planned city, following the process of other planned capitals.",1
247,"[17] After it became the capital of Kazakhstan, the city dramatically changed its shape.",1
248,The city's master-plan was designed by Japanese architect Kisho Kurokawa.,1
249,"[17] As the seat of the Government of Kazakhstan, Nur-Sultan is the site of the Parliament House, the Supreme Court, the Ak Orda Presidential Palace and numerous government departments and agencies.",1
250,"It is home to a range of futuristic buildings, including many skyscrapers",1
251,"The settlement was founded in 1830 as Akmoly or Akmolinsky prikaz (Russian: РђРєРјРѕР»РёРЅСЃРєРёР№ РїСЂРёРєР°Р· ""prikaz [office] of Akmoly"").",1
252,"This name was possibly given after a local landmarkвЂ”Akmola literally means ""white grave"" or ""holy city"" in KazakhвЂ”although this theory is not universally accepted.",1
253,"[2] In 1832, it was granted town status and renamed Akmolinsk (Russian: РђРєРјРѕР»РёРЅСЃРє).",1
254,"[2] During the Soviet era on 20 March 1961, it was renamed Tselinograd (Russian: Р¦РµР»РёРЅРѕРіСЂР°Рґ, lit.",1
255,'City of virgin lands') to mark its evolution as a cultural and administrative center of the Virgin Lands campaign.,1
256,"[21][2] In 1992, after Kazakh independence Tselinograd adopted the presumed original name Akmola.",1
257,"[2][22] On 10 December 1997, Akmola replaced Almaty as the capital of Kazakhstan.",1
258,"On 6 May 1998, it was renamed Astana, which means ""capital city"" in Kazakh.",1
259,"[23] On 20 March 2019, the capital was renamed from Astana to its current name Nur-Sultan in honor of the long-ruling Kazakh President Nursultan Nazarbayev, shortly after his resignatio.",1
260,"Nur-Sultan's economy is based on trade, industrial production, transport, communication and construction.",1
261,"The city's industrial production is mainly focused on producing building materials, foodstuff and mechanical engineering.",1
262,The Astana International Financial Center (AIFC) opened in July 2018 to become a hub for financial services in Central Asia.,1
263,[54],1
264,"Nur-Sultan is the headquarters of state-owned corporations such as Samruk-Kazyna, Kazakhstan Temir Zholy, KazMunayGas, KazTransOil, Kazatomprom, KEGOC, Kazpost and Kazakhtelecom.",1
265,The shift of the capital has given it a powerful boost to Nur-Sultan's economic development.,1
266,The city's high economic growth rate has attracted numerous investors.,1
267,"In the 16 years since Nur-Sultan became the capital, the volume of investments has increased by almost 30 times, the gross regional product has increased by 90 times,[55] and industrial output has increased by 11 times.",1
268,The city's Gross Regional Product makes up about 8.5 per cent of the republic's Gross domestic product.,1
269,[56],1
270,The Nur-Sultan вЂ“ New City special economic zone was established in 2001 to help develop industry and increase the attractiveness of the city to investors.,1
271,[57] The SEZ plans to commission five projects worth 20 billion KZT (around $108 million) in the Industrial Park No.,1
272,1 in 2015.,1
273,"[57] The projects include construction of a plant for production of diesel engines, a fast food complex, temporary storage warehouses and a business center, a furniture factory, and production of military and civil engineering machin",1
274,[57] The new Nur-Sultan /Astana International Financial Centre is due to launch on 1 January 2018.,1
275,Nur-Sultan's administration is promoting the development of small and medium-sized businesses through the cooperation of the Sovereign Welfare Fund Samruk-Kazyna and National Economic Chamber.,1
276,Support is provided by a special programme of crediting.,1
277,"[58] As a result, the number of small and medium-sized businesses increased by 13.7% to over 96,000 compared to the previous year as of 1 July 2015.",1
278,"[59] In addition, the number of people employed in small and medium-sized business increased by 17.8% to over 234,000 people as of 1 April 2015.",1
279,[59],1
280,"Nur-Sultan was included in the list of top 21 intelligent communities of the world, according to the report released by the Intelligent Community Forum in October 2016.",1
281,"The rating list includes the cities, regions and communities which use digital instruments for the construction of local economy and society.",1
282,[60],1
283,"In 2018, Nur-Sultan attracted more than three trillion tenge (US$7.91 billion) in foreign direct investments, a record amount for the city.",1
284,The growth was achieved due to a large number of construction projects.,1
285,[61],1
286,Tourism becomes one of the factors that drive economic growth in the city.,1
287,Nur-Sultan is among the top ten most attractive tourist cities in the Commonwealth of Independent States (CIS).,1
